task	query	url	rank	query_relevance	task_relevance
8	 谷歌眼镜功能	http://my.tv.sohu.com/us/119074845/70337160.shtml	9	3	3
10	 国内和香港iphone6价格	http://news.163.com/14/0913/15/A61I0Q0Q00014AEE.html	8	2	2
10	apple store	http://www.xyzs.com/topic/Apple%20Store/	8	2	0
2	 北京周边旅游 交通	http://you.ctrip.com/asks/beijing1/145630.html	5	2	1
10	 iphone6大陆售价	http://www.jb51.net/shouji/229030.html	0	3	3
2	妙峰山 价格	http://jingdian.114piaowu.com/BeiJing/3997_MenPiao	3	1	1
12	航母的作用	http://www.chinadmd.com/theme/5gjm5O875h2Pr848156bW86960k8F8i6D4QS98D560/	8	3	3
1	 十人团队破冰游戏	http://www.wenku1.com/list/%E5%9B%A2%E9%98%9F%E6%B4%BB%E5%8A%A8%E7%A0%B4%E5%86%B0%E6%B8%B8%E6%88%8F/	5	3	3
3	 死飞自行车 清华大学附近	http://www.baixing.com/ershouzixingche/m177881/	2	2	2
12	 辽宁号 优势 劣势	http://bbs.tianya.cn/m/post-develop-1428493-1.shtml	1	0	0
10	香港 iphone 关税	http://ask.zol.com.cn/q/875154.html	4	3	1
4	 国际航班手提行李及托运行李要求	https://iask.sina.com.cn/b/r26wDIXep.html	6	1	1
3	北京死飞自行车专卖	http://poi.mapbar.com/beijing/MAPAHACWZNYRSEJMHAQIZNZ/image.html	9	0	0
3	 死飞自行车 价格	http://www.douban.com/group/topic/82435857/	4	1	2
4	 国际航班 行李 规定	https://www.tutengdai.com/news/detail/179593	8	3	3
2	 北京周边 短期游	http://www.cncn.com/xianlu/544813340879/relate	9	2	2
10	iPhone6中国售价	http://money.163.com/14/1001/08/A7F7IPM300253B0H.html	8	3	1
12	 辽宁号　其他航母　对比	http://bbs.gxsky.com/thread-11196138-1-1.html	0	3	3
4	国际航班 必须托运的东西	http://www.hui-chao.com/zx-jjxcxqjx.html	4	3	2
12	航空母舰百度百科	https://www.zhihu.com/question/62881734/answer/204119234	9	1	1
3	北京 久裕 死飞 地图	http://summall.com/footerPages/links.html	8	2	2
2	 北京周边 十天旅游	http://s.cncn.com/beijing/cbc4b9fa20caaeccec	8	1	1
1	 破冰游戏 新员工	http://www.chinadmd.com/file/recwprz3eeesw3ziirzosz6v_3.html	6	3	3
2	延庆 旅游	http://www.yqtour.gov.cn/yjx/342484.htm	8	3	2
12	辽宁号对其他国家航母的优势	http://military.workercn.cn/269/201611/29/161129150349372.shtml	3	3	3
2	古北住宿	http://www.meituan.com/ztgbszzs	5	3	1
4	 国际航班 行李	http://www.airchina.com.cn/cn/about_us/news/37802.shtml	0	3	1
3	京东商城	https://shop.jd.com/	2	1	0
4	 国际航班托运物品规定	http://www.wenku1.com/list/%E5%9B%BD%E9%99%85%E9%A3%9E%E6%9C%BA%E6%89%98%E8%BF%90%E8%A1%8C%E6%9D%8E%E8%A7%84%E5%AE%9A/	6	3	3
2	 北京 蜂窝网	http://www.tech-food.com/business/d/b0380970.htm	8	1	0
1	 新员工培训 10人破冰游戏	http://www.wenku1.com/list/%E6%96%B0%E5%91%98%E5%B7%A5%E7%A0%B4%E5%86%B0/	3	3	3
3	死飞自行车 注意事项	http://china.makepolo.com/product-detail/100883607491.html	5	3	2
12	 辽宁号　优势劣势	https://lt.cjdby.net/thread-2319594-1-1.html	0	2	2
2	 北京周边旅游花费	http://www.mafengwo.cn/travel-news/216296.html	0	3	3
4	 飞美国 必须随身	http://ask.qyer.com/question/1780227.html	3	1	1
2	 北京周边旅游，价格等	http://www.meituan.com/ztbjbjzbly	1	3	2
10	香港iPhone6 带回国收税多少	http://bbs.16fan.com/thread-340692-1-1.html	3	1	1
12	 辽宁号的基本信息（如排水量，舰长，舷宽，船员人数，航速，武器装备等）	http://www.360doc.com/content/17/0308/17/22746295_635032618.shtml	0	3	3
8	 谷歌眼镜的功能、使用方法、价格	http://www.17house.com/know/ask/52/1002407.htm	8	3	3
3	北京海淀区二手死飞自行车购买	http://bj.58.com/qinghe/zhediezixingche/0/	3	2	2
10	 港版iPhone6 关税	http://www.customslawyer.cn/xfsd/61496.shtml	0	2	2
3	 清华大学附近 死飞自行车购买渠道	http://ditu.city8.com/bj/canyinfuwu/4321746_ASNSEP_address	7	3	3
11	清华大学陈明游泳馆	http://www.dianping.com/shop/2340301/map	7	3	3
11	清华大学　游泳馆 	http://learning.sohu.com/20171023/n519403812.shtml	2	1	0
8	 googleglass	http://wearable.ofweek.com/KW-GoogleGlass.html	6	3	1
2	五日游　北京周边	http://www.ptotour.com/s/260420.html	6	0	0
4	 国际航班托运物品规定	http://www.360doc.com/content/14/0404/12/8896430_366333011.shtml	5	3	3
1	 新员工培训破冰游戏	http://www.unjs.com/fanwenwang/ziliao/376728.html	7	3	3
2	 北京周边五月旅游四天	http://k.pconline.com.cn/question/2078382.html	5	2	3
3	北京死飞自行车专卖	http://www.zixingche.me/	7	3	3
3	 清华西门 死飞	http://www.mafengwo.cn/poi/info-120076.html	1	0	0
4	 国际航空不能托运的	http://bbs.55bbs.com/thread-8386928-1-1.html	9	1	1
12	辽宁号基本信息	http://tags.news.sina.com.cn/%E8%BE%BD%E5%AE%81%E5%8F%B7	0	3	3
10	香港 iphone 入境关税	http://www.cnta.gov.cn/xxfb/jjgat/201510/t20151012_748926.shtml	3	3	3
3	 死飞自行车　价格	https://search.suning.com/0148v.html	7	3	3
3	死飞自行车 购买途径	http://t.qq.com/p/t/235886026498095	7	1	0
3	清华大学 死飞 价格 注意事项	http://www.wjyxmr.com/lbis/125411.html	5	0	0
10	 iphone6港版　关税	http://www.fuwo.com/ask/5730080.html	6	2	2
4	 国际 手提行李 流体	http://www.mafengwo.cn/wenda/detail-9521012-9521662.html	3	1	1
3	 清华附近死飞自行车专卖	http://www.dianping.com/search/around/2/0_13665195	1	0	0
2	去十渡玩要花多少钱	http://www.mafengwo.cn/wenda/detail-618559.html	2	1	1
12	 辽宁号的优劣势	https://lt.cjdby.net/thread-2343989-1-1.html	0	3	3
8	 谷歌眼镜怎样使用	http://tech.sina.com.cn/it/2014-04-28/09159349480.shtml	6	2	3
12	航空母舰维基	http://sourceforge.net/p/wakuseibokan/wiki	5	1	0
1	 10人 新员工破冰游戏	http://ask.wenku1.com/question/%E6%96%B0%E5%91%98%E5%B7%A5%E5%85%A5%E8%81%8C%E5%9F%B9%E8%AE%AD%E7%A0%B4%E5%86%B0.htm	0	1	1
11	 清华大学陈明游泳馆 学生游泳卡	http://store.tuan800.com/shop_643011/deal_all	6	1	3
12	 辽宁号优势劣势 航母作用	http://lt.cjdby.net/archiver/t-1204316-1-%E4%BF%84%E7%BD%97%E6%96%AF%E8%88%AA%E6%AF%8D%E8%88%B0%E8%BD%BD%E6%9C%BA%E8%8B%8F-33%E7%9A%84%E4%BC%98%E5%8A%BF%E4%B8%8E%E5%8A%A3%E5%8A%BF%20%E4%BC%B0%E8%AE%A1%E4%B8%8B%E6%AD%BC15%E6%80%A7%E8%83%BD.html	5	0	0
2	北戴河	http://www.beidaihe186.com/bdh_xl_4ri1.php	3	3	2
3	 清华附近 死飞	http://news.ifeng.com/a/20150626/44046785_0.shtml	5	0	0
4	 国际航班 托运规定	http://finance.jrj.com.cn/2017/03/22102122209769.shtml	4	2	1
2	山东 蚂蜂窝	http://huaban.com/pins/12572254/	8	0	0
12	 辽宁号 排水量 舰长 舷宽 船员人数 航速 武器装备 	http://max.book118.com/html/2017/0417/100685724.shtm	2	3	3
3	死飞知乎	http://item.taobao.com/item.htm?id=559333975965	6	0	2
2	白洋淀 攻略	http://www.meet99.com/jingdian-baiyangdian.html	3	3	2
10	 iphone6港版要交关税吗	https://iask.sina.com.cn/b/KPpoHUB2f1.html	9	2	2
12	辽宁号 优劣势	http://www.20087.com/2011-07/R_2011_2015nianpinzhuangmoxingshichang.html	7	0	0
7	 戒烟之后的害处	http://www.120ask.com/tagcloud/F5noW53BP5ukB5Kak45Ff75Qdj55Wn5uk2.html	1	2	2
2	 北京周边游	http://www.dianping.com/beijing/view	3	2	2
1	 新员工培训破冰游戏	http://www.tuozhan110.com/tzyx/pbyx/2082.html	4	3	2
12	航母 战略作用	http://www.chinavalue.net/Finance/Blog/2012-9-26/932600.aspx	6	2	2
7	 戒烟的好处	http://www.qiuyi.cn/detail/36021/135467.html	6	3	3
2	 北京 旅游	http://www.lvyou520.com/	7	3	3
8	 谷歌眼镜 售价	http://www.kejixun.com/article/201404/36094.html	5	3	3
2	张裕酒庄 攻略	http://www.meet99.com/jingdian-zhangyu-124582.html	1	3	3
12	 辽宁号航母的优势和劣势	http://news.ifeng.com/a/20170104/50519829_0.shtml?_zbs_baidu_news=	4	1	1
10	iphone6 港行 国行	http://kuaidi.ping-jia.net/wenti-ktdthbibabibbbidkgh.htm	1	3	3
1	 员工培训 破冰游戏	http://www.caoxy.com/news/1902.html	6	3	3
3	北京 久裕 死飞 地图	http://bj.ganji.com/zixingchemaimai/572586341x.htm	7	1	1
7	戒烟副作用	http://sh.eastday.com/m/20120530/u1a6590326.html	9	3	3
12	 辽宁号 优势劣势	http://www.sohu.com/a/137275270_788382	5	3	3
4	中国到美国航班 行李限额	https://www.emirates.com/cn/chinese/destinations/flights-to-united-states.aspx	2	2	1
3	北京 久裕 死飞	https://www.taobao.com/oshtml/xianyu-cn/cp_y8C3yb7D1KO7qLnE.html	0	1	1
12	 辽宁舰 百科	http://t.qq.com/p/t/141215080273941	4	1	0
11	 清华大学游泳馆 冬天 开放时间	http://store.tejiaquan.com/QingHuaDaXueYouYongGuan-359404911.htm	5	2	3
10	apple 官网	http://www.apple.com.au/	1	3	1
8	 googleglass	http://www.hongkiat.com/blog/google-glass/	5	2	1
8	 谷歌眼镜 功能 使用方式 售价	http://www.xz7.com/comment_65253_1.html	5	2	2
4	 国际航班允许行李的重量和体积限制	https://iask.sina.com.cn/b/10002794.html	7	2	2
2	 北京 周边 旅游	http://www.dianping.com/mylist/1086347	8	3	3
2	 北京周边旅行 蚂蜂窝	http://www.mafengwo.cn/i/688232.html	0	3	3
2	古北住宿	http://www.nettvl.com/zl/q-489311.html	4	3	2
10	 苹果香港	http://product.pcpop.com/000475863/Index.html	1	3	1
12	 辽宁号战略意义	http://www.jyeoo.com/physics/ques/detail/8ef96ff3-8ecf-4fa5-941c-14f5296d17ef	3	1	0
3	Makara死飞公园 价位	http://huaban.com/pins/1111880716/	8	0	0
