,id,studentID,task_id,answer,content
10,15,2014012759,12,        这个问题能搜到的只有四个网页 一个是无比冗长的360个人图书馆 还有一个是wiki的自由讨论 还有一个是啥台媒的警告根本不相关啊2333 所以只能上360图书馆里面疯狂寻找  辽宁号的主要特点是能够有女性舰员的生活区吧 飞行甲板上的标绘也是特点 并且一直在默默训练 但是基本信息什么的要找到也很困难 还有一个网页写着辽宁号点进去就是一个中国航母的大网页十分凌乱。。看的头都大了。。,TIMESTAMP=1512982169603	USER=2014012759	TASK=12	ACTION=ANSWER_QUESTION	INFO:	answer=        这个问题能搜到的只有四个网页 一个是无比冗长的360个人图书馆 还有一个是wiki的自由讨论 还有一个是啥台媒的警告根本不相关啊2333 所以只能上360图书馆里面疯狂寻找  辽宁号的主要特点是能够有女性舰员的生活区吧 飞行甲板上的标绘也是特点 并且一直在默默训练 但是基本信息什么的要找到也很困难 还有一个网页写着辽宁号点进去就是一个中国航母的大网页十分凌乱。。看的头都大了。。
11,61,2017213705,10,        国内和香港iphone的售价，在香港买iphone攻略，带回是否需要关税，港版在国内有没有运营问题,TIMESTAMP=1513044709888	USER=2017213705	TASK=10	ACTION=DESCRIPTION	INFO:	answer=        国内和香港iphone的售价，在香港买iphone攻略，带回是否需要关税，港版在国内有没有运营问题
12,62,2016310023,7,       戒烟的好处，戒烟的副作用以及有效的戒烟方式,TIMESTAMP=1513044867571	USER=2016310023	TASK=7	ACTION=DESCRIPTION	INFO:	answer=       戒烟的好处，戒烟的副作用以及有效的戒烟方式
13,63,2017213705,10,        支持移动、联通，电信有一定问题,TIMESTAMP=1513045735225	USER=2017213705	TASK=10	ACTION=ANSWER_QUESTION	INFO:	answer=        支持移动、联通，电信有一定问题
14,64,2017213705,3,小明在清华大学附近，想买一辆死飞自行车，需要知道怎么买，在哪里买，要多少钱，有什么注意事项,TIMESTAMP=1513045809307	USER=2017213705	TASK=3	ACTION=DESCRIPTION	INFO:	answer=小明在清华大学附近，想买一辆死飞自行车，需要知道怎么买，在哪里买，要多少钱，有什么注意事项
15,65,2016310023,1,        十个人参与的破冰游戏的玩法,TIMESTAMP=1513045875343	USER=2016310023	TASK=1	ACTION=DESCRIPTION	INFO:	answer=        十个人参与的破冰游戏的玩法
16,66,2016310023,11,        找到清华大学陈明游泳馆的地点，开放时间，学生票价以及办理游泳卡的价格,TIMESTAMP=1513046321160	USER=2016310023	TASK=11	ACTION=DESCRIPTION	INFO:	answer=        找到清华大学陈明游泳馆的地点，开放时间，学生票价以及办理游泳卡的价格
17,67,2016310023,2,        从花费、价值和方便程度查找北京周边适合旅行的地方,TIMESTAMP=1513046801008	USER=2016310023	TASK=2	ACTION=DESCRIPTION	INFO:	answer=        从花费、价值和方便程度查找北京周边适合旅行的地方
18,68,2017213705,8,        “谷歌眼镜”的功能、使用方式、售价,TIMESTAMP=1513047226427	USER=2017213705	TASK=8	ACTION=DESCRIPTION	INFO:	answer=        “谷歌眼镜”的功能、使用方式、售价
19,69,2017213705,8,       装饰品、查询并增加日程、地图功能、好友互动、音乐播放、拍照和摄影等,TIMESTAMP=1513047597794	USER=2017213705	TASK=8	ACTION=ANSWER_QUESTION	INFO:	answer=       装饰品、查询并增加日程、地图功能、好友互动、音乐播放、拍照和摄影等
20,70,2017213705,7,        为小明的朋友查询戒烟的好处、副作用，有效的方式,TIMESTAMP=1513047648327	USER=2017213705	TASK=7	ACTION=DESCRIPTION	INFO:	answer=        为小明的朋友查询戒烟的好处、副作用，有效的方式
21,71,2017213705,12,        辽宁号的技术信息，作用，历史，和其它国家航母的横向比较,TIMESTAMP=1513048139269	USER=2017213705	TASK=12	ACTION=DESCRIPTION	INFO:	answer=        辽宁号的技术信息，作用，历史，和其它国家航母的横向比较
22,72,2016310023,3,        寻找清华附近，死飞自行车的可能购买渠道，注意事项和价格区间,TIMESTAMP=1513048197211	USER=2016310023	TASK=3	ACTION=DESCRIPTION	INFO:	answer=        寻找清华附近，死飞自行车的可能购买渠道，注意事项和价格区间
23,73,2017213705,2,        从花费、价值、方便程度三方面考虑北京周边5天假期去哪玩,TIMESTAMP=1513048556449	USER=2017213705	TASK=2	ACTION=DESCRIPTION	INFO:	answer=        从花费、价值、方便程度三方面考虑北京周边5天假期去哪玩
24,74,2017213705,11,        清华大学游泳馆冬天的开放时间、学生票价格、游泳卡价格,TIMESTAMP=1513049303196	USER=2017213705	TASK=11	ACTION=DESCRIPTION	INFO:	answer=        清华大学游泳馆冬天的开放时间、学生票价格、游泳卡价格
25,75,2016310023,3,        购买死飞自行车可以网购，买二手或者到实体店中购买。从网上价格来看，死飞自行车从几百到大几的价格不同，需要根据个人经济情况和需求购买。建议买到300左右的车即可。现在网购比较发达，选择网购更为方便。对于二手车而言，在性能和售后上都得不到保障，需慎重。实体店，通过百度地图可以找到附近的一些车行，可前往看，但是一般价格较高。因此，建议再网上购买。,TIMESTAMP=1513049459778	USER=2016310023	TASK=3	ACTION=ANSWER_QUESTION	INFO:	answer=        购买死飞自行车可以网购，买二手或者到实体店中购买。从网上价格来看，死飞自行车从几百到大几的价格不同，需要根据个人经济情况和需求购买。建议买到300左右的车即可。现在网购比较发达，选择网购更为方便。对于二手车而言，在性能和售后上都得不到保障，需慎重。实体店，通过百度地图可以找到附近的一些车行，可前往看，但是一般价格较高。因此，建议再网上购买。
26,76,2016310023,10,        对比国行和港版iPhone6的价格。在香港如何购买，进关是否缴纳关税。港版iphone是否支持国内运营商网络。,TIMESTAMP=1513049598493	USER=2016310023	TASK=10	ACTION=DESCRIPTION	INFO:	answer=        对比国行和港版iPhone6的价格。在香港如何购买，进关是否缴纳关税。港版iphone是否支持国内运营商网络。
27,77,2017213705,1,        十人参与的破冰游戏的玩法,TIMESTAMP=1513049569389	USER=2017213705	TASK=1	ACTION=DESCRIPTION	INFO:	answer=        十人参与的破冰游戏的玩法
28,78,2016310023,10,        港版的iphone分为多种，有支持全网的，也有支持双网的。因此，港版的iphone可以支持移动网络。,TIMESTAMP=1513050110494	USER=2016310023	TASK=10	ACTION=ANSWER_QUESTION	INFO:	answer=        港版的iphone分为多种，有支持全网的，也有支持双网的。因此，港版的iphone可以支持移动网络。
29,79,2016310023,8,        搜索谷歌眼镜的功能、使用方式和售价,TIMESTAMP=1513050147079	USER=2016310023	TASK=8	ACTION=DESCRIPTION	INFO:	answer=        搜索谷歌眼镜的功能、使用方式和售价
30,80,2016310023,8,        智能拍照，接听电话，网络搜索，录制视频等,TIMESTAMP=1513050440724	USER=2016310023	TASK=8	ACTION=ANSWER_QUESTION	INFO:	answer=        智能拍照，接听电话，网络搜索，录制视频等
31,81,2016310023,4,        国际航班对手提行李的重量限制体积限制，对托运行李的重量限制体积限制，手提行李中能携带多少液体，那些物品必须手提，那些物品必须托运等信息,TIMESTAMP=1513050489639	USER=2016310023	TASK=4	ACTION=DESCRIPTION	INFO:	answer=        国际航班对手提行李的重量限制体积限制，对托运行李的重量限制体积限制，手提行李中能携带多少液体，那些物品必须手提，那些物品必须托运等信息
32,82,2016310023,12,        查找辽宁号的信息,TIMESTAMP=1513050694254	USER=2016310023	TASK=12	ACTION=DESCRIPTION	INFO:	answer=        查找辽宁号的信息
33,83,2016310023,12,        辽宁号与2012年交付中国解放军海军正式服役。是我国第一艘搭载固定翼飞机的航空母舰。其改建自1998年由创律集团以两千万美元购入瓦良格号航空母舰瓦兰格号。舰长304.5m，吃水线长270m；舰宽75m，吃水宽度38m；舰体吃水深度10m。航速29节，自持力45天。辽宁号在防空，防潜等方面对国家安全起到了重要作用。,TIMESTAMP=1513051306541	USER=2016310023	TASK=12	ACTION=ANSWER_QUESTION	INFO:	answer=        辽宁号与2012年交付中国解放军海军正式服役。是我国第一艘搭载固定翼飞机的航空母舰。其改建自1998年由创律集团以两千万美元购入瓦良格号航空母舰瓦兰格号。舰长304.5m，吃水线长270m；舰宽75m，吃水宽度38m；舰体吃水深度10m。航速29节，自持力45天。辽宁号在防空，防潜等方面对国家安全起到了重要作用。
34,120,1701110210,8,        谷歌眼镜的功能、使用方式、售价等信息,TIMESTAMP=1513056577828	USER=1701110210	TASK=8	ACTION=DESCRIPTION	INFO:	answer=        谷歌眼镜的功能、使用方式、售价等信息
35,121,1701110210,8,"谷歌眼镜可以利用头戴显示系统、用语音手势控制眼镜来进行：
1.随时拍照摄像
2.用眼睛看镜片上的信息随时导航定位
3.实时网络搜索（虽不如手机和电脑功能强大但基础级别的搜索可以实现）
4.利用蓝牙耳机进行语音视频通话","TIMESTAMP=1513058327592	USER=1701110210	TASK=8	ACTION=DESCRIPTION	INFO:	answer=        谷歌眼镜可以利用头戴显示系统、用语音手势控制眼镜来进行：
1.随时拍照摄像
2.用眼睛看镜片上的信息随时导航定位
3.实时网络搜索（虽不如手机和电脑功能强大但基础级别的搜索可以实现）
4.利用蓝牙耳机进行语音视频通话"
36,124,1701110210,12,        辽宁舰的基本信息，如排水量、舰长、舷宽、船员人数、航速、武器装备等，还有辽宁舰的历史、航母能起到的战略作用，此外还有辽宁舰相对于其它国家航母的优劣势等信息,"TIMESTAMP=1513059035976	USER=1701110210	TASK=12	ACTION=DESCRIPTION	INFO:	answer=        辽宁舰的基本信息，如排水量、舰长、舷宽、船员人数、航速、武器装备等，还有辽宁舰的历史、航母能起到的战略作用，此外还有辽宁舰相对于其它国家航母的优劣势等信息
"
37,128,1701110210,12,"中国辽宁号航空母舰是中国人民解放军海军的第一艘航空母舰。2012年9月25日，该舰正式加入中国海军序列。
基本参数：
排水量：
47,000吨（标准）
60,000吨（满载）
舰长：
304.5米，吃水线长270米
舷宽：
75米，吃水线宽38米
船员人数：
船员1,960人，飞行员626人，参谋40人,房间3,857个
航速：
29节
武器装备：
（1）防空：
1130近防炮
FL-3000N舰载反导系统
（2）反潜：
RBU1200反潜火箭
（3）舰载机：
未有实际配置，原为26架固定翼飞机、24架直升机
（4）雷达：
346型相控阵雷达
顶板（Top-Plate）3D对空搜索雷达
364型对空/平面追踪雷达
（5）其他：
干扰弹发射器

历史：
其外壳原是苏联海军库兹涅佐夫级航空母舰的二号舰瓦良格号。中国改造的“瓦良格”号是一艘常规动力航母，由苏联在上世纪80年代开始建造。苏联解体后，建造工程被迫下马。1998年，废旧的“瓦良格”号被中国公司购买，2002年3月抵达中国大连港。中国对“瓦良格”号航母进行改造，这是海军装备建设新的发展成果，标志着中国没有航母的历史从此结束。

战略作用：
中国近海防御战略加强；中国人民海军力量增强。
中国航母的服役将使中国海军的战斗力、常规威慑能力和核威慑能力大增，真正成为一个战略性军种。

横向对比其他国家辽宁舰优劣势：
相比美国航母规模小、速度低。但舰载机较日本出云号的直升机更大更有能力。","TIMESTAMP=1513061993984	USER=1701110210	TASK=12	ACTION=ANSWER_QUESTION	INFO:	answer=中国辽宁号航空母舰是中国人民解放军海军的第一艘航空母舰。2012年9月25日，该舰正式加入中国海军序列。
基本参数：
排水量：
47,000吨（标准）
60,000吨（满载）
舰长：
304.5米，吃水线长270米
舷宽：
75米，吃水线宽38米
船员人数：
船员1,960人，飞行员626人，参谋40人,房间3,857个
航速：
29节
武器装备：
（1）防空：
1130近防炮
FL-3000N舰载反导系统
（2）反潜：
RBU1200反潜火箭
（3）舰载机：
未有实际配置，原为26架固定翼飞机、24架直升机
（4）雷达：
346型相控阵雷达
顶板（Top-Plate）3D对空搜索雷达
364型对空/平面追踪雷达
（5）其他：
干扰弹发射器

历史：
其外壳原是苏联海军库兹涅佐夫级航空母舰的二号舰瓦良格号。中国改造的“瓦良格”号是一艘常规动力航母，由苏联在上世纪80年代开始建造。苏联解体后，建造工程被迫下马。1998年，废旧的“瓦良格”号被中国公司购买，2002年3月抵达中国大连港。中国对“瓦良格”号航母进行改造，这是海军装备建设新的发展成果，标志着中国没有航母的历史从此结束。

战略作用：
中国近海防御战略加强；中国人民海军力量增强。
中国航母的服役将使中国海军的战斗力、常规威慑能力和核威慑能力大增，真正成为一个战略性军种。

横向对比其他国家辽宁舰优劣势：
相比美国航母规模小、速度低。但舰载机较日本出云号的直升机更大更有能力。
"
38,129,1701110210,3,        在清华大学附近买死飞自行车可能的购买渠道，注意事项和价格区间。,"TIMESTAMP=1513062055332	USER=1701110210	TASK=3	ACTION=DESCRIPTION	INFO:	answer=        在清华大学附近买死飞自行车可能的购买渠道，注意事项和价格区间。
"
39,130,1701110210,3,"     有两个基本渠道：
1.实体店：
清华附近有死飞公园等死飞自行车实体店，但要注意去专业车店购买，不然车的质量不过关。这样的专业车店中死飞售价大概在几千元。也可以考虑买二手车。
2.网购：
网上出售的死飞自行车在140元到4500元之间不等，但要注意从正规商家购买，或通过网络平台购买二手车。","TIMESTAMP=1513062796317	USER=1701110210	TASK=3	ACTION=ANSWER_QUESTION	INFO:	answer=     有两个基本渠道：
1.实体店：
清华附近有死飞公园等死飞自行车实体店，但要注意去专业车店购买，不然车的质量不过关。这样的专业车店中死飞售价大概在几千元。也可以考虑买二手车。
2.网购：
网上出售的死飞自行车在140元到4500元之间不等，但要注意从正规商家购买，或通过网络平台购买二手车。

"
40,131,1701110210,2,       一周的假期适合去去北京的周边哪些地方旅行（从花费、价值和方便程度三方面考虑）,"TIMESTAMP=1513062915952	USER=1701110210	TASK=2	ACTION=DESCRIPTION	INFO:	answer=       一周的假期适合去去北京的周边哪些地方旅行（从花费、价值和方便程度三方面考虑）
"
41,132,1701110210,2,"        备选目的地：
1.密云古北水镇
2.白洋淀
3.黄花城长城
4.北戴河

我认为最合适的地方是密云古北水镇，理由如下：
1.花费：
（1）门票150元，加上其他消费花费不多。
（2）交通方面可乘公交车或租车。景区内电瓶车50元。
（3）住宿：古镇旅游业发达提供住宿的旅店，价格不等，平均花费百余元。
（4）娱乐：小镇会不定时举办冰雕嘉年华、北方庙会等活动。
2.价值：
度假时可以欣赏美景、领略小镇风土人情、了解小镇的文化底蕴。
可以在小镇游览、吃烧烤和夜里观星。
3.方便程度：交通方面可乘密37路、密50路等或租车，来去花费时间不会很长，如果有急事随时方便返回。
","TIMESTAMP=1513064441394	USER=1701110210	TASK=2	ACTION=ANSWER_QUESTION	INFO:	answer=        备选目的地：
1.密云古北水镇
2.白洋淀
3.黄花城长城
4.北戴河

我认为最合适的地方是密云古北水镇，理由如下：
1.花费：
（1）门票150元，加上其他消费花费不多。
（2）交通方面可乘公交车或租车。景区内电瓶车50元。
（3）住宿：古镇旅游业发达提供住宿的旅店，价格不等，平均花费百余元。
（4）娱乐：小镇会不定时举办冰雕嘉年华、北方庙会等活动。
2.价值：
度假时可以欣赏美景、领略小镇风土人情、了解小镇的文化底蕴。
可以在小镇游览、吃烧烤和夜里观星。
3.方便程度：交通方面可乘密37路、密50路等或租车，来去花费时间不会很长，如果有急事随时方便返回。


"
42,133,1701110210,7,        关于戒烟有哪些好处、副作用、有效的戒烟方式,"TIMESTAMP=1513064504993	USER=1701110210	TASK=7	ACTION=DESCRIPTION	INFO:	answer=        关于戒烟有哪些好处、副作用、有效的戒烟方式
"
43,134,1701110210,7,"1.多参加一些不吸烟的活动来缓解心情。
2.多做运动。
3.丢掉吸烟用具比方打火机，烟灰缸，卷烟，削减“条件反射”。","TIMESTAMP=1513064849555	USER=1701110210	TASK=7	ACTION=ANSWER_QUESTION	INFO:	answer=1.多参加一些不吸烟的活动来缓解心情。
2.多做运动。
3.丢掉吸烟用具比方打火机，烟灰缸，卷烟，削减“条件反射”。
"
44,135,1701110210,4,      国际航班对手提行李的重量限制体积限制、对托运行李的重量限制体积限制、手提行李中能携带多少液体、必须手提的物品，必须托运的物品等信息  ,"TIMESTAMP=1513064911969	USER=1701110210	TASK=4	ACTION=DESCRIPTION	INFO:	answer=      国际航班对手提行李的重量限制体积限制、对托运行李的重量限制体积限制、手提行李中能携带多少液体、必须手提的物品，必须托运的物品等信息  
"
45,136,1701110210,4,"1.通常情况总重量不能超过7公斤（ 部分航空公司有特殊规定）。
2.每件行李体积一般不能超过20乘40乘55cm，三边之和不超过115cm。
3.禁止旅客随身携带或托运的物品包括： 枪支、军用或警用械具类(含主要部件); 爆炸物品类; 管制刀具; 易燃、易爆物品; 毒害品; 腐蚀性物品; 放射性物品; 其他危害飞行安全的物品; 国家法律法规规定的其他禁止携带、运输的物品。","TIMESTAMP=1513065756134	USER=1701110210	TASK=4	ACTION=ANSWER_QUESTION	INFO:	answer=1.通常情况总重量不能超过7公斤（ 部分航空公司有特殊规定）。
2.每件行李体积一般不能超过20乘40乘55cm，三边之和不超过115cm。
3.禁止旅客随身携带或托运的物品包括： 枪支、军用或警用械具类(含主要部件); 爆炸物品类; 管制刀具; 易燃、易爆物品; 毒害品; 腐蚀性物品; 放射性物品; 其他危害飞行安全的物品; 国家法律法规规定的其他禁止携带、运输的物品。
"
46,137,1701110210,11,     清华大学游泳馆的所在地、开放时间、学生票价格、办理游泳卡花多少钱等信息。   ,"TIMESTAMP=1513065795350	USER=1701110210	TASK=11	ACTION=DESCRIPTION	INFO:	answer=     清华大学游泳馆的所在地、开放时间、学生票价格、办理游泳卡花多少钱等信息。   
"
47,138,1701110210,11,"清华大学游泳馆：
1.地址：
北京市海淀区双清路30号清华大学内(五道口附近)
2.价格：
（1） 游泳票价
校外 教工 学生
一小时场 25元 12元 7元
（2）计次卡价格（每张卡共用30次，有效期三个月）
校外 教工 学生
一小时场 600元 280元 150元
3.开放时间：
周一 至 周五12：00—13：00
周六、日 12：00—13：30
周六、日 14：00—15：30
周一 至 周五17：30—18：30
周六、日 17：00—18：30
晚场（第一场）每天晚上20：00—21：00
晚场（第二场）21：30—22：30","TIMESTAMP=1513066070519	USER=1701110210	TASK=11	ACTION=ANSWER_QUESTION	INFO:	answer=清华大学游泳馆：
1.地址：
北京市海淀区双清路30号清华大学内(五道口附近)
2.价格：
（1） 游泳票价
校外 教工 学生
一小时场 25元 12元 7元
（2）计次卡价格（每张卡共用30次，有效期三个月）
校外 教工 学生
一小时场 600元 280元 150元
3.开放时间：
周一 至 周五12：00—13：00
周六、日 12：00—13：30
周六、日 14：00—15：30
周一 至 周五17：30—18：30
周六、日 17：00—18：30
晚场（第一场）每天晚上20：00—21：00
晚场（第二场）21：30—22：30
"
48,139,1701110210,10,"想要在香港购买一台iphone6。
1.查找国内和香港的iphone6的售价
2.如何在香港购买iphone
3.把iphone带回国内需不需要缴纳关税
4.港版iphone支不支持国内运营商网络","TIMESTAMP=1513066193922	USER=1701110210	TASK=10	ACTION=DESCRIPTION	INFO:	answer=想要在香港购买一台iphone6。
1.查找国内和香港的iphone6的售价
2.如何在香港购买iphone
3.把iphone带回国内需不需要缴纳关税
4.港版iphone支不支持国内运营商网络
"
49,140,1701110210,10," 苹果iPhone 6支持国内三大运营商4G网络：
港版是全网通的A1586。iPhone 6与iPhone 6 Plus都支持4G LTE网络，理论速度可以达到150Mbps。并且，iPhone 6支持多频段的4G网络，用户不再需要因为转换运营商而更换设备。
苹果公司特别提到，iPhone 6支持20个LTE频段，这比其他任何一款智能手机都要多。","TIMESTAMP=1513066844851	USER=1701110210	TASK=10	ACTION=ANSWER_QUESTION	INFO:	answer= 苹果iPhone 6支持国内三大运营商4G网络：
港版是全网通的A1586。iPhone 6与iPhone 6 Plus都支持4G LTE网络，理论速度可以达到150Mbps。并且，iPhone 6支持多频段的4G网络，用户不再需要因为转换运营商而更换设备。
苹果公司特别提到，iPhone 6支持20个LTE频段，这比其他任何一款智能手机都要多。
"
50,141,1701110210,1,        查找一个适合新员工培训时采用的大约十人参与的破冰游戏的玩法,"TIMESTAMP=1513066889357	USER=1701110210	TASK=1	ACTION=DESCRIPTION	INFO:	answer=        查找一个适合新员工培训时采用的大约十人参与的破冰游戏的玩法
"
51,142,1701110210,1," “千姿百笑：
（导师一声令下，双方队员同时开始以不同的姿态发笑，每个人的姿态各异，不能有相同的，坚持时间长的团队获胜。）
所以需要准备一个好心情~","TIMESTAMP=1513067150362	USER=1701110210	TASK=1	ACTION=ANSWER_QUESTION	INFO:	answer= “千姿百笑：
（导师一声令下，双方队员同时开始以不同的姿态发笑，每个人的姿态各异，不能有相同的，坚持时间长的团队获胜。）
所以需要准备一个好心情~
"
52,145,2016210825,4,       国际航班托运行李以及手提行李的限制,"TIMESTAMP=1513130535755	USER=2016210825	TASK=4	ACTION=DESCRIPTION	INFO:	answer=       国际航班托运行李以及手提行李的限制
"
53,146,2016210825,4,"        手提行李 重量不超过23kg，三边长不超过115cm
托运行李 重量不超过35kg，三边长不超过158cm
刀具、化妆品类物品不能随身携带，必须办理托运，重要个人物品如相机，电脑等可以随身携带","TIMESTAMP=1513131520806	USER=2016210825	TASK=4	ACTION=ANSWER_QUESTION	INFO:	answer=        手提行李 重量不超过23kg，三边长不超过115cm
托运行李 重量不超过35kg，三边长不超过158cm
刀具、化妆品类物品不能随身携带，必须办理托运，重要个人物品如相机，电脑等可以随身携带
"
54,148,2016210825,3,        清华大学附近购买死飞,"TIMESTAMP=1513131580548	USER=2016210825	TASK=3	ACTION=DESCRIPTION	INFO:	answer=        清华大学附近购买死飞
"
55,149,2016210825,3,"        清华西门死飞公园专卖店购买一般需要1500～2500元左右
其余一些非专业自行车店价格比较便宜，但是产品质量比较低劣","TIMESTAMP=1513132012807	USER=2016210825	TASK=3	ACTION=ANSWER_QUESTION	INFO:	answer=        清华西门死飞公园专卖店购买一般需要1500～2500元左右
其余一些非专业自行车店价格比较便宜，但是产品质量比较低劣
"
56,150,2016210825,7,        戒烟的方式，好处以及副作用,"TIMESTAMP=1513132055996	USER=2016210825	TASK=7	ACTION=DESCRIPTION	INFO:	answer=        戒烟的方式，好处以及副作用
"
57,151,2016210825,7,"        保持良好的生活习惯，制定合理的戒烟计划
多吃蔬菜水果之类的食物，适量饮水，补充维生素B等并促进身体代谢
有条件可以咨询医生，采用催眠、针灸等方式帮助戒烟","TIMESTAMP=1513132438446	USER=2016210825	TASK=7	ACTION=ANSWER_QUESTION	INFO:	answer=        保持良好的生活习惯，制定合理的戒烟计划
多吃蔬菜水果之类的食物，适量饮水，补充维生素B等并促进身体代谢
有条件可以咨询医生，采用催眠、针灸等方式帮助戒烟

"
58,152,2016210825,1,        员工培训的破冰游戏,"TIMESTAMP=1513132468050	USER=2016210825	TASK=1	ACTION=DESCRIPTION	INFO:	answer=        员工培训的破冰游戏
"
59,153,2016210825,1,        猜猜我是谁 每人准备一些个人相关物品，向大家介绍，借此让大家了解自己,"TIMESTAMP=1513132907871	USER=2016210825	TASK=1	ACTION=ANSWER_QUESTION	INFO:	answer=        猜猜我是谁 每人准备一些个人相关物品，向大家介绍，借此让大家了解自己
"
60,154,2016210825,11,        清华游泳馆相关信息,"TIMESTAMP=1513132930549	USER=2016210825	TASK=11	ACTION=DESCRIPTION	INFO:	answer=        清华游泳馆相关信息
"
61,155,2016210825,11,        清华大学陈明游泳馆 在清华大学校内东大操场对面 校内人员每次7元，办理游泳卡每次5元，校外人员每次25元，办理游泳卡每次20元。开放时间一般为工作日每天晚上3场，周末下午两场，晚上三场，每场时间为一个半小时,"TIMESTAMP=1513133300477	USER=2016210825	TASK=11	ACTION=ANSWER_QUESTION	INFO:	answer=        清华大学陈明游泳馆 在清华大学校内东大操场对面 校内人员每次7元，办理游泳卡每次5元，校外人员每次25元，办理游泳卡每次20元。开放时间一般为工作日每天晚上3场，周末下午两场，晚上三场，每场时间为一个半小时
"
62,156,2016210825,12,        辽宁舰基本信息，历史、战略作用以及相对其他国家的航空母舰的优劣,"TIMESTAMP=1513133654387	USER=2016210825	TASK=12	ACTION=DESCRIPTION	INFO:	answer=        辽宁舰基本信息，历史、战略作用以及相对其他国家的航空母舰的优劣
"
63,157,2016210825,12,     辽宁号是从前苏联瓦良格号改装而成，为标准动力航母，标准排水量43000 舰长306.45m，吃水10m，可载员约6000多人，最大航速29节，作战经济航速18节，最大航程8000海里。2016年11月解放军宣布辽宁号航母战斗群已具备战斗能力,"TIMESTAMP=1513134437250	USER=2016210825	TASK=12	ACTION=ANSWER_QUESTION	INFO:	answer=     辽宁号是从前苏联瓦良格号改装而成，为标准动力航母，标准排水量43000 舰长306.45m，吃水10m，可载员约6000多人，最大航速29节，作战经济航速18节，最大航程8000海里。2016年11月解放军宣布辽宁号航母战斗群已具备战斗能力
"
